Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
TRUTCH ST & W BROADWAY,Property damage only,VANCOUVER,2017,3,49.264203,-123.1759
BLENHEIM ST & W BROADWAY,Property damage only,VANCOUVER,2017,14,49.264235,-123.177798
E 7TH AVE & GLEN DR,Property damage only,VANCOUVER,2017,1,49.264269,-123.081324
COLLINGWOOD ST & W BROADWAY,Property damage only,VANCOUVER,2017,2,49.264303,-123.181856
HIGHBURY ST & W BROADWAY,Property damage only,VANCOUVER,2017,1,49.264373,-123.187784
BURRARD ST & W 8TH AVE,Property damage only,VANCOUVER,2017,4,49.264637,-123.145737
SASAMAT ST & W 9TH AVE,Property damage only,VANCOUVER,2017,1,49.264711,-123.209077
COLUMBIA ST & W 7TH AVE,Property damage only,VANCOUVER,2017,5,49.264753,-123.109464
E 6TH AVE & SLOCAN ST,Property damage only,VANCOUVER,2017,1,49.26476,-123.049502
ALBERTA ST & W 7TH AVE,Property damage only,VANCOUVER,2017,8,49.264782,-123.110882
W 7TH AVE & YUKON ST,Property damage only,VANCOUVER,2017,5,49.264811,-123.112854
BALSAM ST & W 8TH AVE,Property damage only,VANCOUVER,2017,1,49.264841,-123.159985
E 6TH AVE & LAKEWOOD DR,Property damage only,VANCOUVER,2017,1,49.265008,-123.061976
ASH ST & W 7TH AVE,Property damage only,VANCOUVER,2017,3,49.265013,-123.117445
LAUREL ST & W 7TH AVE,Property damage only,VANCOUVER,2017,3,49.265119,-123.124107
E 6TH AVE & GRANDVIEW HWY N,Property damage only,VANCOUVER,2017,1,49.26513,-123.073982
OAK ST & W 7TH AVE,Property damage only,VANCOUVER,2017,3,49.265157,-123.126561
E 6TH AVE & KEITH DR,Property damage only,VANCOUVER,2017,3,49.265199,-123.079402
E 6TH AVE & ST CATHERINES ST,Property damage only,VANCOUVER,2017,1,49.2652,-123.085183
E 6TH AVE & ST GEORGE ST,Property damage only,VANCOUVER,2017,1,49.265257,-123.092981
FIR ST & W 7TH AVE,Property damage only,VANCOUVER,2017,5,49.26538,-123.140927
E 6TH AVE & SCOTIA ST,Property damage only,VANCOUVER,2017,1,49.265464,-123.098855
E 6TH AVE & MAIN ST,Property damage only,VANCOUVER,2017,25,49.265503,-123.100769
E 5TH AVE & RUPERT ST,Property damage only,VANCOUVER,2017,1,49.265659,-123.033739
E 5TH AVE & RENFREW ST,Property damage only,VANCOUVER,2017,4,49.265698,-123.044308
E 5TH AVE & SKEENA ST,Property damage only,VANCOUVER,2017,1,49.265701,-123.028471
W 6TH AVE & YUKON ST,Property damage only,VANCOUVER,2017,2,49.265725,-123.112788
ASH ST & W 2ND AVE & W 6TH AVE,Property damage only,VANCOUVER,2017,7,49.265893,-123.117416
OAK ST & W 6TH AVE,Property damage only,VANCOUVER,2017,8,49.265999,-123.126532
ALMA ST & W 7TH AVE,Property damage only,VANCOUVER,2017,1,49.266068,-123.185795
E 5TH AVE & FRASER ST,Property damage only,VANCOUVER,2017,2,49.266139,-123.08908
E 5TH AVE & ST GEORGE ST,Property damage only,VANCOUVER,2017,1,49.26616,-123.092929
BIRCH ST & W 4TH AVE & W 6TH AVE,Property damage only,VANCOUVER,2017,5,49.266184,-123.133618
FOLEY ST & GREAT NORTHERN WAY,Property damage only,VANCOUVER,2017,2,49.266212,-123.086553
